,0
0,0.1878
1,0.1834
2,0.1413
3,0.1848
4,0.1684
5,0.3101
6,0.3956
7,0.2862
8,0.2155
9,0.3949
10,1.469
11,0.2978
12,1.0693
13,0.3446
14,0.2159
15,0.2102
16,0.2528
17,0.2826
18,0.1923
19,0.1672
20,0.2774
21,0.2314
22,0.5171
23,0.2644
24,0.2048
25,5.4066
26,0.2937
27,0.4882
28,0.3368
29,0.3769
30,0.2423
31,0.2408
32,0.2408
33,0.3667
34,0.195
35,0.2018
36,0.1703
37,0.2605
38,0.3685
39,0.2055
40,0.8074
41,0.1831
42,0.26
43,0.3008
44,0.577
45,0.1825
46,0.4845
47,0.2123
48,0.5896
49,0.3535
50,0.3957
51,0.475
52,0.4787
53,0.4354
54,1.3589
55,1.1294
56,0.2847
57,0.2344
58,0.1668
59,0.1831
60,0.1486
61,0.1493
62,0.4047
63,0.2137
64,0.4205
65,10.3426
66,10.8717
67,10.4506
68,10.1699
69,10.1643
70,0.2222
71,0.2485
72,6.4904
73,3.2668
74,10.0917
75,2.6538
76,0.2799
77,10.4258
78,10.1455
79,15.9999
80,9.0085
81,0.3224
82,0.1927
83,0.1371
84,7.4392
85,0.1909
86,0.1414
87,3.7976
88,0.1961
89,0.1319
90,0.172
91,0.1379
92,0.1742
93,0.1374
94,0.148
95,0.1327
96,0.225
97,0.1355
98,0.1079
99,0.1152
100,0.3053
101,0.2294
102,0.1501
103,0.1333
104,0.1248
105,0.1545
106,0.1834
107,0.1114
108,10.1082
109,0.2092
110,0.166
111,0.1363
112,0.1623
113,0.1705
114,0.1415
115,0.1389
116,0.164
117,0.1524
118,0.1298
119,0.1293
120,0.1985
121,0.1783
122,0.161
123,0.1914
124,0.1466
125,0.1378
126,0.1215
127,0.1613
128,0.1853
129,0.164
130,0.14
131,0.1926
132,10.2497
133,0.1545
134,1.7612
135,0.1361
136,0.1912
137,0.3074
138,0.1847
139,0.1421
140,0.1835
141,10.57
142,0.1442
143,0.1787
144,0.1327
145,0.1845
146,0.1916
147,0.1305
148,0.1644
149,0.1912
150,0.1231
151,0.265
152,0.1595
153,0.2338
154,0.1189
155,0.2291
156,7.5241
157,0.1874
158,0.178
159,0.1924
160,0.1897
161,0.2105
162,0.2804
163,0.2067
164,0.2149
165,3.8901
166,0.2268
167,0.183
168,0.2309
169,0.1553
170,0.2736
171,0.1469
172,5.3236
173,0.1632
174,0.1342
175,0.1297
176,0.1796
177,0.1765
178,0.2183
179,0.1582
180,0.1935
181,0.2044
182,0.2865
183,0.2238
184,0.202
185,0.3086
186,1.3055
187,0.2874
188,0.1497
189,0.2848
190,0.2411
191,0.3916
192,0.2433
193,0.7168
194,0.1659
195,0.1867
196,0.2028
197,0.2016
198,0.1849
199,0.4513
200,0.1753
201,0.3296
202,0.1971
203,0.2477
204,0.207
205,0.5458
206,0.1422
207,0.2249
208,0.2103
209,0.2026
210,0.3033
211,0.2208
212,0.1416
213,0.3093
214,0.2572
215,0.1999
216,0.1419
217,0.1941
218,0.2198
219,0.1897
220,0.1757
221,0.2029
222,0.2359
223,0.1819
224,0.142
225,0.4871
226,0.3481
227,0.1633
228,0.1692
229,0.1761
230,0.2224
231,0.1924
232,0.2151
233,0.261
234,0.161
235,0.3842
236,0.202
237,4.0181
238,0.3407
239,0.2055
240,0.4087
241,0.1855
242,0.2147
243,0.1796
244,0.1705
245,0.2288
246,0.2505
247,0.279
248,0.3921
249,0.1936
250,4.7642
251,0.1991
252,0.1722
253,0.2059
254,0.2501
255,0.2206
256,0.2248
257,0.1897
258,0.268
259,0.1867
260,0.146
261,0.175
262,0.2186
263,0.1909
264,0.2716
265,0.1752
266,0.1814
267,0.1956
268,0.2019
269,0.1655
270,0.1783
271,0.1866
272,0.2944
273,0.1588
274,0.1965
275,0.2675
276,0.2333
277,0.1965
278,0.1351
279,0.1632
280,0.1959
281,0.1754
282,0.1742
283,0.2558
284,0.1901
285,0.287
286,0.1876
287,0.1683
288,0.1655
289,0.2115
290,0.1998
291,0.2613
292,0.159
293,0.205
294,0.1621
295,0.2273
296,0.2575
297,0.2995
298,0.2243
299,0.3537
300,0.1427
301,0.1917
302,0.3376
303,0.2604
304,0.2784
305,0.2284
306,0.2126
307,0.1653
308,0.2008
309,0.2057
310,0.1651
311,0.2607
312,0.2151
313,0.1914
314,0.2201
315,0.2343
316,0.2001
317,0.1873
318,0.2148
319,0.2185
320,0.2806
321,0.2371
322,0.2222
323,0.1614
324,0.3361
325,0.1917
326,0.2043
327,0.2048
328,0.2688
329,0.4392
330,0.1871
331,0.2675
332,0.272
333,0.2275
334,0.2677
335,0.2436
336,0.249
337,0.2787
338,5.1801
339,0.1824
340,0.3794
341,0.1644
342,0.2298
343,0.1993
344,0.1306
345,0.3009
346,0.334
347,0.246
348,2.1714
349,0.3266
350,0.2602
351,0.1594
352,0.3048
353,0.4717
354,0.3957
355,0.4665
356,0.569
357,0.4742
358,0.1918
359,0.5926
360,0.3222
361,1.9149
362,0.3764
363,0.3023
364,0.5453
365,0.2647
366,0.3678
367,0.398
368,0.228
369,0.3017
370,0.8114
371,0.4815
372,0.3484
373,0.355
374,0.5966
375,1.0018
376,0.3191
377,0.189
378,0.2848
379,0.3854
380,0.3109
381,1.0145
382,0.4395
383,0.2439
384,0.29
385,0.6472
386,0.5936
387,0.3976
388,0.1889
389,0.8812
390,0.2886
391,0.3235
392,0.6835
393,0.4095
394,0.4087
395,0.6079
396,0.6679
397,0.208
398,0.142
399,0.4821
400,0.8341
401,0.3697
402,1.3303
403,0.2487
404,0.2915
405,0.2883
406,0.3124
407,0.4952
408,0.4104
409,0.8984
410,0.4858
411,0.9271
412,0.4118
413,0.5501
414,0.2144
415,0.2484
416,0.4298
417,0.1942
418,0.8502
419,0.2153
420,0.2696
421,0.3721
422,0.2335
423,0.6314
424,0.752
425,0.2992
426,0.2342
427,0.2994
428,1.4952
429,1.421
430,0.4612
431,0.1396
432,0.4826
433,1.6742
434,1.1882
435,0.3037
436,0.3704
437,0.1461
438,0.1932
439,0.2981
440,0.8078
441,0.7119
442,0.3078
443,0.3727
444,0.423
445,1.0163
446,0.9334
447,0.2549
448,1.3149
449,0.3425
450,0.3191
451,1.1996
452,0.5096
453,0.8945
454,0.9012
455,0.2942
456,0.2966
457,0.5406
458,0.2014
459,0.2902
