Time,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:error,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:ok,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:timeout,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:system error
Tue Apr 27 2021 17:56:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.016666666666666666,undefined
Tue Apr 27 2021 17:58:00 GMT-0500 (Central Daylight Time),0.5333333333333333,6.45,undefined,undefined
Tue Apr 27 2021 17:59:00 GMT-0500 (Central Daylight Time),0.7,5.45,undefined,undefined
Tue Apr 27 2021 18:00:00 GMT-0500 (Central Daylight Time),0.9666666666666667,6,undefined,undefined
Tue Apr 27 2021 18:01:00 GMT-0500 (Central Daylight Time),0.6666666666666666,5.183333333333334,undefined,undefined
Tue Apr 27 2021 18:02:00 GMT-0500 (Central Daylight Time),0.8333333333333334,5.933333333333334,undefined,undefined
Tue Apr 27 2021 18:03:00 GMT-0500 (Central Daylight Time),0.9666666666666667,5.966666666666667,undefined,undefined
Tue Apr 27 2021 18:04:00 GMT-0500 (Central Daylight Time),0.5333333333333333,7.116666666666666,undefined,undefined
Tue Apr 27 2021 18:05:00 GMT-0500 (Central Daylight Time),1.1666666666666667,5.45,undefined,undefined
Tue Apr 27 2021 18:06:00 GMT-0500 (Central Daylight Time),0.8333333333333334,5.466666666666667,0.016666666666666666,undefined
Tue Apr 27 2021 18:07:00 GMT-0500 (Central Daylight Time),1.1666666666666667,8.683333333333334,0.016666666666666666,undefined
Tue Apr 27 2021 18:08:00 GMT-0500 (Central Daylight Time),0.9666666666666667,6.95,undefined,undefined
Tue Apr 27 2021 18:09:00 GMT-0500 (Central Daylight Time),1.4166666666666667,10.883333333333333,undefined,undefined
Tue Apr 27 2021 18:10:00 GMT-0500 (Central Daylight Time),1.0166666666666666,7.583333333333333,undefined,undefined
Tue Apr 27 2021 18:11:00 GMT-0500 (Central Daylight Time),0.43333333333333335,6.6,0.016666666666666666,undefined
Tue Apr 27 2021 18:12:00 GMT-0500 (Central Daylight Time),1.1666666666666667,9.466666666666667,0.016666666666666666,undefined
Tue Apr 27 2021 18:13:00 GMT-0500 (Central Daylight Time),0.9,9.383333333333333,undefined,undefined
Tue Apr 27 2021 18:14:00 GMT-0500 (Central Daylight Time),0.43333333333333335,3.3333333333333335,0.016666666666666666,undefined
Tue Apr 27 2021 18:15:00 GMT-0500 (Central Daylight Time),0.03333333333333333,1.0166666666666666,0.03333333333333333,undefined
Tue Apr 27 2021 18:16:00 GMT-0500 (Central Daylight Time),0.6333333333333333,5.466666666666667,0.016666666666666666,undefined
Tue Apr 27 2021 18:17:00 GMT-0500 (Central Daylight Time),0.8166666666666667,7.933333333333334,undefined,undefined
Tue Apr 27 2021 18:18:00 GMT-0500 (Central Daylight Time),1.35,10.783333333333333,undefined,undefined
Tue Apr 27 2021 18:19:00 GMT-0500 (Central Daylight Time),1,11.6,undefined,undefined
Tue Apr 27 2021 18:20:00 GMT-0500 (Central Daylight Time),0.2,1.8,0.016666666666666666,undefined
Tue Apr 27 2021 18:21:00 GMT-0500 (Central Daylight Time),0.03333333333333333,0.06666666666666667,0.03333333333333333,undefined
Tue Apr 27 2021 18:22:00 GMT-0500 (Central Daylight Time),0.5166666666666667,5.116666666666666,0.016666666666666666,undefined
Tue Apr 27 2021 18:23:00 GMT-0500 (Central Daylight Time),1.15,8.033333333333333,undefined,undefined
Tue Apr 27 2021 18:24:00 GMT-0500 (Central Daylight Time),1.1833333333333333,8.75,undefined,undefined
Tue Apr 27 2021 18:25:00 GMT-0500 (Central Daylight Time),1.5666666666666667,11.216666666666667,undefined,undefined
Tue Apr 27 2021 18:26:00 GMT-0500 (Central Daylight Time),0.03333333333333333,0.16666666666666666,0.016666666666666666,undefined
Tue Apr 27 2021 18:27:00 GMT-0500 (Central Daylight Time),0.03333333333333333,0.23333333333333334,0.03333333333333333,undefined
Tue Apr 27 2021 18:28:00 GMT-0500 (Central Daylight Time),0.43333333333333335,4.866666666666666,0.016666666666666666,undefined
Tue Apr 27 2021 18:29:00 GMT-0500 (Central Daylight Time),0.03333333333333333,0.43333333333333335,0.016666666666666666,undefined
Tue Apr 27 2021 18:30:00 GMT-0500 (Central Daylight Time),0.36666666666666664,4.616666666666666,0.03333333333333333,undefined
Tue Apr 27 2021 18:31:00 GMT-0500 (Central Daylight Time),0.48333333333333334,4.75,0.016666666666666666,undefined
Tue Apr 27 2021 18:32:00 GMT-0500 (Central Daylight Time),0.08333333333333333,1.8,0.016666666666666666,undefined
Tue Apr 27 2021 18:33:00 GMT-0500 (Central Daylight Time),0.03333333333333333,0.7333333333333333,0.03333333333333333,undefined
Tue Apr 27 2021 18:34:00 GMT-0500 (Central Daylight Time),0.36666666666666664,3.783333333333333,0.03333333333333333,undefined
Tue Apr 27 2021 18:35:00 GMT-0500 (Central Daylight Time),0.4,3.3833333333333333,0.016666666666666666,undefined
Tue Apr 27 2021 18:36:00 GMT-0500 (Central Daylight Time),0.85,6.333333333333333,0.016666666666666666,undefined
