Time,function/execution_times.cloud_function.ALIGN_PERCENTILE_99.REDUCE_MEAN.metric.type="cloudfunctions.googleapis.com/function/execution_times" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="function-test" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213
Tue Apr 27 2021 18:00:00 GMT-0500 (Central Daylight Time),89934051.70400992
Tue Apr 27 2021 18:01:00 GMT-0500 (Central Daylight Time),87722911.00237066
Tue Apr 27 2021 18:02:00 GMT-0500 (Central Daylight Time),98699440.1888887
Tue Apr 27 2021 18:03:00 GMT-0500 (Central Daylight Time),93227831.16832417
Tue Apr 27 2021 18:04:00 GMT-0500 (Central Daylight Time),95042650.31837025
Tue Apr 27 2021 18:05:00 GMT-0500 (Central Daylight Time),98296434.51120123
Tue Apr 27 2021 18:06:00 GMT-0500 (Central Daylight Time),84376218.31168163
Tue Apr 27 2021 18:07:00 GMT-0500 (Central Daylight Time),81626801.00718662
Tue Apr 27 2021 18:08:00 GMT-0500 (Central Daylight Time),773246072.6294357
Tue Apr 27 2021 18:09:00 GMT-0500 (Central Daylight Time),104813291.1566917
Tue Apr 27 2021 18:10:00 GMT-0500 (Central Daylight Time),94906166.44552147
Tue Apr 27 2021 18:11:00 GMT-0500 (Central Daylight Time),102749685.15514976
Tue Apr 27 2021 18:12:00 GMT-0500 (Central Daylight Time),103620902.61275691
Tue Apr 27 2021 18:13:00 GMT-0500 (Central Daylight Time),83200012.61698431
Tue Apr 27 2021 18:14:00 GMT-0500 (Central Daylight Time),90405757.88120437
Tue Apr 27 2021 18:15:00 GMT-0500 (Central Daylight Time),753345005.7618386
Tue Apr 27 2021 18:16:00 GMT-0500 (Central Daylight Time),726934877.6794823
Tue Apr 27 2021 18:17:00 GMT-0500 (Central Daylight Time),734985338.6094575
Tue Apr 27 2021 18:18:00 GMT-0500 (Central Daylight Time),78104419.70484278
Tue Apr 27 2021 18:19:00 GMT-0500 (Central Daylight Time),100529096.63528678
Tue Apr 27 2021 18:21:00 GMT-0500 (Central Daylight Time),57971962.77367151
Tue Apr 27 2021 18:22:00 GMT-0500 (Central Daylight Time),899862680.6923264
Tue Apr 27 2021 18:23:00 GMT-0500 (Central Daylight Time),95581799.39156005
Tue Apr 27 2021 18:24:00 GMT-0500 (Central Daylight Time),82775342.96538119
Tue Apr 27 2021 18:25:00 GMT-0500 (Central Daylight Time),84135376.04557166
Tue Apr 27 2021 18:26:00 GMT-0500 (Central Daylight Time),61192028.954784125
Tue Apr 27 2021 18:27:00 GMT-0500 (Central Daylight Time),63008953.66082463
Tue Apr 27 2021 18:28:00 GMT-0500 (Central Daylight Time),105891918.88680059
Tue Apr 27 2021 18:29:00 GMT-0500 (Central Daylight Time),803308785.3981129
Tue Apr 27 2021 18:30:00 GMT-0500 (Central Daylight Time),99744719.4939895
Tue Apr 27 2021 18:31:00 GMT-0500 (Central Daylight Time),808411584.2751609
Tue Apr 27 2021 18:32:00 GMT-0500 (Central Daylight Time),107393109.10467747
Tue Apr 27 2021 18:33:00 GMT-0500 (Central Daylight Time),45164297.82032449
Tue Apr 27 2021 18:34:00 GMT-0500 (Central Daylight Time),61423000.98180926
Tue Apr 27 2021 18:35:00 GMT-0500 (Central Daylight Time),76219987.1434762
Tue Apr 27 2021 18:36:00 GMT-0500 (Central Daylight Time),50058103.69677546
Tue Apr 27 2021 18:37:00 GMT-0500 (Central Daylight Time),126995152.28779605
Tue Apr 27 2021 18:38:00 GMT-0500 (Central Daylight Time),659591946.8134915
Tue Apr 27 2021 18:39:00 GMT-0500 (Central Daylight Time),97519621.62334009
Tue Apr 27 2021 18:40:00 GMT-0500 (Central Daylight Time),97073855.73200035
Tue Apr 27 2021 18:41:00 GMT-0500 (Central Daylight Time),74269776.71603766
Tue Apr 27 2021 18:43:00 GMT-0500 (Central Daylight Time),276568250.5646386
Tue Apr 27 2021 18:44:00 GMT-0500 (Central Daylight Time),813049815.4224961
Tue Apr 27 2021 18:45:00 GMT-0500 (Central Daylight Time),96264397.78379199
