,0
0,0.3179
1,0.4771
2,0.8921
3,0.544
4,0.616
5,0.8724
6,1.578
7,1.8062
8,2.4608
9,2.1172
10,0.5687
11,2.5299
12,0.3977
13,3.5503
14,0.1712
15,0.4713
16,0.5613
17,0.2515
18,0.3816
19,3.7927
20,0.5409
21,2.3566
22,0.3479
23,0.2967
24,0.3942
25,0.2923
26,0.3156
27,1.1336
28,0.2419
29,0.2355
30,1.2368
31,0.6583
32,0.5923
33,1.5866
34,0.8455
35,3.1996
36,0.9681
37,0.4837
38,0.215
39,0.624
40,0.3395
41,0.878
42,0.3648
43,0.1939
44,0.4027
45,0.3509
46,0.5498
47,0.3448
48,0.3452
49,2.7996
50,1.3707
51,0.1926
52,0.8712
53,0.2458
54,0.2557
55,0.1813
56,0.2332
57,0.3216
58,0.6957
59,0.1316
60,0.1401
61,0.1453
62,0.3098
63,0.1912
64,0.1425
65,10.5277
66,10.6078
67,10.5492
68,10.5197
69,10.2941
70,5.5586
71,10.2653
72,10.4722
73,10.5904
74,10.0838
75,10.4167
76,9.7786
77,1.5133
78,10.0979
79,10.1357
80,10.2555
81,10.4877
82,10.6825
83,10.5543
84,2.4534
85,5.022
86,10.4432
87,10.4879
88,10.2084
89,10.3062
90,10.462
91,9.7779
92,0.195
93,0.129
94,0.1336
95,0.1532
96,5.2343
97,0.2126
98,0.1695
99,3.8223
100,0.1471
101,0.1934
102,0.1539
103,3.3716
104,0.1819
105,10.5856
106,0.1376
107,0.1532
108,0.2164
109,10.4314
110,2.1949
111,0.1706
112,0.1731
113,0.1583
114,10.2937
115,0.184
116,0.1332
117,0.355
118,1.3439
119,3.4901
120,1.6895
121,3.2119
122,0.2457
123,4.0404
124,0.3628
125,0.3373
126,0.3042
127,0.2866
128,0.2613
129,0.1972
130,0.2635
131,0.216
132,0.1884
133,0.2325
134,0.23
135,1.2341
136,0.1972
137,0.2587
138,0.2759
139,0.3041
140,0.365
141,1.29
142,0.3809
143,0.3027
144,0.3111
145,0.2107
146,0.2226
147,0.408
148,0.2198
149,0.2421
150,0.2888
151,0.6184
152,0.4318
153,0.3908
154,8.2517
155,0.3131
156,0.2791
157,0.3187
158,9.1112
159,7.2723
160,0.3216
161,0.3013
162,0.442
163,0.2329
164,0.4829
165,2.5447
166,0.4059
167,0.3211
168,0.2844
169,0.2887
170,0.338
171,0.3936
172,0.3907
173,0.2735
174,0.4133
175,0.3129
176,7.7902
177,0.5585
178,0.3071
179,0.4513
180,0.3201
181,6.3772
182,0.3627
183,0.4299
184,5.6867
185,0.1837
186,0.3288
187,0.2128
188,0.1632
189,0.9194
190,5.2527
191,0.2514
192,0.4855
193,0.3679
194,0.5404
195,0.6008
196,0.3839
197,1.5463
198,0.4567
199,0.5039
200,0.3994
201,1.5808
202,0.4047
203,0.4963
204,1.3467
205,1.7315
206,0.2125
207,0.2333
208,0.4366
209,0.2941
210,0.4982
211,0.4431
212,1.4083
213,0.5898
214,0.8399
215,0.9623
216,0.3456
217,1.8658
218,0.2952
219,1.6065
220,0.2705
221,3.4996
222,0.4204
223,1.3698
224,0.63
225,0.3741
226,1.835
227,1.4903
228,1.5842
229,0.3988
230,0.3046
231,0.3828
232,0.178
233,0.867
234,0.2373
235,0.5902
236,0.2388
237,0.672
238,0.5252
239,0.5372
240,0.4842
241,0.5977
242,1.4953
243,0.6146
244,0.4978
245,0.4929
246,0.2917
247,0.4151
248,0.18
249,0.3583
250,2.8597
251,0.6305
252,0.421
253,2.7461
254,0.2341
255,0.2874
256,0.2882
257,0.658
258,0.4026
259,0.2907
260,0.3119
261,0.2572
262,0.26
263,0.2189
264,0.3922
265,0.4767
266,0.3047
267,0.7445
268,0.2134
269,0.3925
270,0.3701
271,0.3732
272,0.5977
273,3.4494
274,0.7956
275,0.5836
276,1.6124
277,0.5618
278,4.8505
279,0.8558
280,0.1708
281,0.6684
282,0.7418
283,0.6829
284,0.3191
285,0.7116
286,0.4698
287,0.362
288,1.0826
289,0.1958
290,0.3335
291,0.1714
292,1.1813
293,0.3197
294,0.804
295,1.8172
296,3.7583
297,0.636
298,0.4882
299,1.5621
300,0.3162
301,0.8283
302,0.5784
303,0.6435
304,0.4881
305,0.9449
306,0.2555
307,0.1624
308,0.4079
309,0.5753
310,0.227
311,0.2151
312,1.4702
313,4.8126
314,4.8082
315,0.2864
316,0.562
317,0.4137
318,0.5987
319,1.2209
320,0.2502
321,0.3458
322,0.4287
323,3.4657
324,0.9075
325,2.9183
326,0.2096
327,0.277
328,0.4668
329,2.7253
330,0.4136
331,0.3184
332,1.9066
333,0.4505
334,3.5248
335,3.6421
336,0.2535
337,3.106
338,0.499
339,0.1707
340,0.4846
341,0.517
342,0.3223
343,2.1991
344,0.4496
345,0.4323
346,0.1531
347,0.7694
348,3.387
349,2.897
350,0.1827
351,1.5488
352,1.8633
353,1.6446
354,0.3965
355,0.2599
356,2.0093
357,4.0466
358,3.6083
359,0.5357
360,0.2048
361,0.5116
362,0.3107
363,0.9018
364,3.6708
365,0.4479
366,0.9528
367,1.9952
368,4.6393
369,5.5746
370,0.5643
371,0.3859
372,0.1982
373,0.5675
374,0.4677
375,1.2096
376,0.4085
377,0.2165
378,1.3983
379,5.6932
380,0.7133
381,0.9861
382,0.1763
383,0.7918
384,0.1913
385,5.6569
386,0.5994
387,0.2335
388,0.2505
389,1.6598
390,0.2337
391,0.4784
392,0.4903
393,0.4641
394,0.326
395,0.36
396,0.5805
397,0.3147
398,3.8744
399,0.4849
400,0.3664
401,0.3526
402,0.4427
403,4.57
404,0.5029
405,0.2371
406,1.9475
407,0.7154
408,0.8692
409,0.2361
410,0.9674
411,0.3987
412,0.3516
413,0.9696
414,0.3641
415,1.423
416,2.9055
417,2.4872
418,2.8012
419,2.408
420,0.3821
421,2.7169
422,1.1819
423,0.4163
424,0.3413
425,3.8622
426,0.3969
427,1.9273
428,2.0177
429,0.2432
430,2.3009
431,0.2168
432,0.2034
433,0.2922
434,2.3784
435,0.4239
436,0.4797
437,1.8317
438,0.9881
439,0.3294
440,0.9624
441,1.1773
442,0.4311
443,0.7247
444,2.0652
445,3.2728
446,0.2179
447,0.2646
448,0.2095
449,3.1342
450,0.2273
451,0.4178
452,0.2894
453,0.4118
454,0.6055
455,0.4459
456,1.6302
457,0.2726
458,1.5006
459,0.3286
460,0.3145
461,0.3316
462,0.21
463,1.8081
464,0.3398
465,0.2509
466,1.8038
467,0.2667
468,2.062
469,2.053
470,0.1889
471,0.2583
472,3.0202
473,0.1917
474,0.6513
475,0.6528
476,0.5652
477,2.5507
478,0.5793
479,0.2719
480,0.4086
481,0.2221
482,0.5753
483,0.2897
484,3.1693
485,0.3186
486,0.445
487,1.0936
488,3.1028
489,3.8885
490,0.5963
491,0.4032
492,0.5246
493,0.5021
494,2.5938
495,0.3726
496,0.3436
497,0.2668
498,0.2536
499,0.2683
500,0.485
501,1.0698
502,0.3
503,0.2692
504,0.7244
505,0.2506
506,0.4491
507,0.4402
508,0.5548
509,0.9195
510,0.597
511,0.3132
512,0.5883
513,0.6056
514,0.4368
515,1.7218
516,0.3606
517,0.3527
518,0.4074
519,2.2896
520,0.212
521,1.0885
522,0.3405
523,0.4749
524,0.9469
525,0.1896
526,0.4459
527,0.4051
528,2.7258
529,0.3506
530,0.2154
531,0.2633
532,0.2874
533,0.2436
534,1.8128
535,0.2859
536,0.4708
537,0.2708
538,0.4866
539,1.7132
540,2.2913
541,1.5875
542,2.2549
543,0.5683
544,1.1826
545,0.4099
546,0.6821
547,0.4878
548,0.2837
549,4.2401
550,0.3292
551,0.1893
552,0.2013
553,0.4439
554,0.2826
555,0.2027
556,0.2939
557,0.6801
558,0.4543
559,0.7848
560,0.4209
561,0.4124
562,0.4721
563,0.6088
564,0.2009
565,1.0996
566,1.3559
567,0.1837
568,3.2625
569,0.2653
570,2.9517
571,1.2048
572,0.3825
573,0.4322
574,1.0481
575,1.1785
576,0.4396
577,2.604
578,0.2809
579,1.014
580,0.3521
581,0.4793
582,0.1726
583,2.698
584,0.516
585,0.3208
586,0.1719
587,1.8514
588,0.3239
589,0.3322
590,1.0079
591,0.5055
592,0.4395
593,6.3612
594,0.3921
595,0.1849
596,0.4074
597,6.2557
598,0.4579
599,4.7862
600,2.2708
601,5.619
602,0.2005
603,0.4839
604,0.4449
605,0.7384
606,0.6618
607,0.3186
608,0.3451
609,4.215
610,0.3969
611,0.7033
612,0.2861
613,0.3352
614,0.3009
615,0.5291
616,0.5519
617,0.9722
618,1.5116
619,0.6195
620,0.366
621,0.5027
622,0.3093
623,0.6857
624,0.5057
625,0.3934
626,0.2972
627,0.5192
628,0.2749
629,0.241
630,0.3664
631,0.2058
632,0.4301
633,0.305
634,1.5709
635,0.3926
636,0.396
637,0.2224
638,0.5115
639,0.7581
640,0.3562
641,0.5675
642,0.5087
643,2.7965
644,3.712
645,0.3776
646,2.4899
647,0.2572
648,0.2654
649,1.1768
650,1.599
651,0.254
652,0.1941
653,0.433
654,0.7763
655,0.2907
656,0.6545
657,0.2159
658,0.1792
659,1.7614
660,0.7526
661,0.3213
662,3.4257
663,2.9381
664,0.4116
665,0.4013
666,1.2916
667,0.4831
668,0.4606
669,1.189
670,0.3713
671,0.399
672,3.7877
673,0.1952
674,0.3261
675,0.32
676,0.2944
677,1.5376
678,0.8079
679,0.241
680,0.1896
681,0.393
682,0.7311
683,0.7799
684,0.8711
685,0.7773
686,2.8244
687,0.5573
688,3.4742
689,2.1226
690,0.2957
691,0.2833
692,1.4525
693,0.4276
694,0.4991
695,0.3132
696,0.2073
697,0.2669
698,0.5269
699,0.5456
700,0.2904
701,0.3571
702,0.4591
703,0.374
704,0.2601
705,3.0936
706,0.7047
707,3.0213
708,0.2273
709,0.7397
710,0.9877
711,0.8254
712,0.4099
713,2.2656
714,3.4559
715,0.2691
716,0.3863
717,0.319
718,0.1888
719,0.2303
720,0.4806
721,2.126
722,1.6508
723,1.525
724,0.426
725,2.1062
726,0.1607
727,0.2024
728,1.4334
729,0.3043
730,1.0103
731,1.8042
732,2.9827
733,0.1731
734,0.2186
735,3.5492
736,0.4358
737,1.3823
738,0.4056
739,3.0181
740,2.5176
741,1.2644
742,0.3715
743,1.2957
744,0.2844
745,0.2894
746,0.1935
747,0.5846
748,1.7686
749,2.0088
750,0.3996
751,2.2108
752,0.4387
753,1.7656
754,0.2909
755,0.3801
756,1.927
757,0.5004
758,1.929
759,1.8686
760,1.3354
761,1.1755
762,0.3333
763,0.3397
764,1.4406
765,0.1845
766,0.6032
767,1.625
768,0.5084
769,0.1921
770,0.2367
771,1.4122
772,0.2655
773,0.2935
774,0.4241
775,0.3115
776,3.1022
777,4.321
778,0.5131
779,1.2766
780,0.3036
781,0.1924
782,1.173
783,0.308
784,0.436
785,0.3767
786,0.4995
787,0.3195
788,0.6184
789,0.2838
790,0.7732
791,0.4059
792,0.3045
793,5.1711
794,0.4488
795,0.7184
796,0.664
797,0.3851
798,1.0211
799,0.5791
800,0.1573
801,0.3548
802,0.7441
803,0.2035
804,0.3053
805,0.334
806,0.4425
807,0.359
808,0.4855
809,0.3129
810,0.8399
811,0.4521
812,0.2942
813,0.3356
814,0.337
815,1.0137
816,0.2818
817,0.9642
818,0.7312
819,1.062
820,1.7817
821,1.0802
822,0.582
823,0.7541
824,3.926
825,0.3658
826,0.2062
827,0.3782
828,1.325
829,0.2368
830,0.2827
831,2.5662
832,0.3096
833,0.328
834,0.5801
835,0.1814
836,0.4214
837,0.3994
838,1.4962
839,0.3341
840,0.8751
841,2.2722
842,0.5857
843,0.2621
844,0.4083
845,2.3418
846,0.5263
847,0.5057
848,2.826
849,0.2753
850,0.4174
851,2.9561
852,2.5795
853,0.3157
854,0.4779
855,2.0599
856,0.4036
857,1.083
858,0.3695
859,3.0123
860,0.3669
861,0.3988
862,0.3311
863,0.5464
864,3.9366
865,0.6361
866,0.3028
867,0.2748
868,0.8369
869,0.9571
870,1.5861
871,0.3981
872,0.2656
873,0.4445
874,0.3397
875,0.7609
876,0.4586
877,0.6765
878,0.2223
879,5.6057
880,0.2369
881,0.2379
882,0.18
883,0.2167
884,0.2429
885,0.3091
886,0.9552
887,0.4151
888,0.4817
889,0.4169
890,0.9392
891,0.1776
892,0.2249
893,4.8731
894,0.436
895,1.2829
896,0.9784
897,0.2814
898,0.2592
899,0.1954
900,0.3172
901,0.605
902,0.2678
903,0.2002
904,1.8922
905,0.3263
906,0.3364
907,0.3035
908,0.2431
909,0.1833
910,0.3507
911,0.2298
912,4.9247
913,0.3505
914,0.26
915,0.2097
916,1.6463
917,0.3026
918,0.4157
919,7.275
920,0.2564
921,0.1792
922,1.224
923,0.5058
924,0.2373
925,0.3379
926,0.4257
927,8.9143
928,0.3003
929,0.3943
930,0.2761
931,0.3991
932,0.2049
933,0.2066
934,2.5087
935,7.2862
936,0.4591
937,0.1673
938,0.1877
939,6.2793
940,0.2464
941,0.2452
942,0.2169
943,0.1886
944,0.1944
945,0.2292
946,0.1943
947,0.3161
948,0.2533
949,0.1888
950,0.1459
951,0.1764
952,0.2407
953,0.5107
954,0.2525
955,0.2044
956,0.2018
957,0.3072
958,0.2694
959,0.2993
960,0.1622
961,0.1746
962,10.0663
963,0.2987
964,10.1064
965,0.2243
966,0.158
967,0.2255
968,0.3603
969,0.2283
970,0.1471
971,0.2201
972,0.2224
973,0.1257
974,0.1239
975,0.1592
976,0.2221
977,0.2416
978,10.543
979,10.458
980,10.1273
981,8.5149
982,10.1809
983,10.4793
984,0.1431
985,0.1279
986,0.1553
987,0.1665
988,0.1098
989,0.1392
990,0.1529
991,0.1267
992,0.2082
993,10.8957
994,1.854
995,1.744
996,10.4306
997,0.1208
998,0.1383
999,0.1198
1000,0.1502
1001,0.1215
1002,0.1281
1003,10.0944
1004,0.2116
1005,9.0862
1006,0.1366
1007,0.1434
1008,10.111
1009,3.8061
1010,0.1622
1011,10.2795
1012,0.2511
1013,0.1643
1014,0.1432
1015,0.1614
1016,0.1551
1017,0.1921
1018,1.1827
1019,10.9114
1020,10.5414
1021,10.2222
1022,6.7455
1023,2.7064
1024,10.1564
1025,10.4919
1026,7.2503
1027,10.3851
1028,65.1646
1029,10.1925
1030,0.169
1031,0.1341
1032,0.2383
1033,0.3047
1034,0.2024
1035,0.1279
1036,10.1347
1037,0.1512
1038,0.1349
1039,10.0911
1040,8.358
1041,1.3865
1042,10.2291
1043,0.1932
1044,10.3689
1045,0.1131
1046,0.159
1047,0.1766
1048,0.1323
1049,0.1232
1050,0.321
1051,0.1436
1052,8.6416
1053,10.1173
1054,4.1769
1055,0.3155
1056,0.1156
1057,10.6053
1058,6.7837
1059,10.161
1060,0.1605
1061,0.1695
1062,0.1632
1063,0.171
1064,0.1711
1065,0.1363
1066,0.152
1067,0.1583
1068,0.159
1069,0.1297
1070,0.2541
1071,0.1564
1072,0.133
1073,0.1596
1074,0.1837
1075,0.1816
1076,0.2022
1077,0.12
1078,0.1674
1079,0.2162
1080,0.1806
1081,0.158
1082,0.1445
1083,5.2884
1084,0.2007
1085,0.1514
1086,10.3966
1087,0.6596
1088,0.1303
1089,0.1675
1090,0.1159
1091,0.1191
1092,0.187
1093,0.1276
1094,0.1443
1095,0.2423
1096,0.335
1097,0.127
1098,0.149
1099,0.2029
1100,0.1616
1101,0.2882
1102,10.096
1103,0.1566
1104,0.1673
1105,0.1868
1106,0.2869
1107,0.1556
1108,0.2453
1109,0.1778
1110,0.1743
1111,0.1539
1112,0.219
1113,2.4751
1114,0.1345
1115,0.2749
1116,0.1159
1117,6.6747
1118,0.237
1119,0.6702
1120,0.1314
1121,0.1898
1122,0.1699
1123,0.8967
1124,5.2152
1125,0.1799
1126,2.8365
1127,0.2809
1128,0.285
1129,0.6269
1130,1.0803
1131,6.9516
1132,0.1794
1133,0.2055
1134,3.5954
1135,0.1474
1136,0.175
1137,0.1541
1138,0.184
1139,0.1395
1140,0.2801
1141,0.2329
1142,0.154
1143,10.5069
1144,0.1386
1145,0.1583
1146,0.3098
1147,0.179
1148,0.203
1149,0.1793
1150,0.2158
1151,0.1979
1152,0.1562
1153,0.1812
1154,0.1737
1155,0.1893
1156,0.1796
1157,0.2223
1158,0.1321
1159,0.2608
1160,0.157
1161,0.1953
1162,8.3649
1163,0.3512
1164,0.3523
1165,0.1432
1166,0.1937
1167,0.1583
1168,0.2165
1169,5.7168
1170,0.2657
1171,6.8851
1172,0.1689
1173,0.4312
1174,0.2037
1175,0.2784
1176,0.4235
1177,0.2282
1178,0.3317
1179,0.3437
1180,0.163
1181,0.1506
1182,0.1802
1183,0.1915
1184,0.2233
1185,0.3435
1186,0.1894
1187,0.3888
1188,0.3159
1189,0.1501
1190,0.2039
1191,0.2076
1192,0.2745
1193,0.1663
1194,0.1795
1195,5.261
1196,0.2754
1197,0.4419
1198,0.1417
1199,0.2457
1200,3.7592
1201,0.1658
1202,0.5827
1203,3.9144
1204,0.4608
1205,0.2267
1206,0.1342
1207,0.3034
1208,0.2041
1209,0.2415
1210,0.1311
1211,0.3368
1212,0.171
1213,0.1916
1214,0.3513
1215,0.2264
1216,0.2925
1217,0.2124
1218,0.2685
1219,0.2005
1220,0.2351
1221,0.2194
1222,0.3797
1223,0.1477
1224,0.1705
1225,0.2957
1226,9.8413
1227,0.1312
1228,0.2078
1229,0.1823
1230,0.1601
1231,0.2511
1232,0.2407
1233,0.1548
1234,0.24
1235,7.6599
1236,0.2555
1237,0.2367
1238,0.1254
1239,0.1995
1240,0.2863
1241,0.2175
1242,0.1792
1243,0.1956
1244,0.1721
1245,5.8855
1246,0.1471
1247,0.3129
1248,0.2843
1249,0.3197
1250,0.2019
1251,0.2976
1252,0.2255
1253,0.2365
1254,0.3665
1255,0.4736
1256,0.277
1257,0.2267
1258,0.4714
1259,0.3265
1260,0.2676
1261,4.9608
1262,5.7003
1263,0.3444
1264,0.6414
1265,0.4699
1266,0.4016
1267,0.3307
1268,1.0823
1269,0.372
1270,0.219
1271,0.4892
1272,1.2964
1273,0.3884
1274,0.4052
1275,0.3636
1276,0.9321
1277,0.2376
1278,0.4009
1279,0.1882
1280,0.3373
1281,0.1671
1282,0.2831
1283,1.0265
1284,0.2708
1285,0.5804
1286,0.2491
1287,0.3998
1288,0.3868
1289,0.364
1290,0.1861
1291,0.3206
1292,0.2113
1293,0.3102
1294,0.7084
1295,0.2903
1296,0.6403
1297,0.2789
1298,0.7312
1299,0.3529
1300,1.3017
1301,5.5586
1302,0.3301
1303,0.1563
1304,0.2431
1305,0.8044
1306,0.3102
1307,0.3077
1308,0.2899
1309,0.3923
1310,0.4205
1311,0.3626
1312,4.3856
1313,0.2576
1314,0.203
1315,0.5094
1316,0.413
1317,0.2086
1318,4.3582
1319,4.2418
1320,0.33
1321,0.7259
1322,0.394
1323,0.3538
1324,0.4399
1325,0.8929
1326,1.0851
1327,0.8151
1328,0.3244
1329,0.6827
1330,0.4823
1331,0.7277
1332,1.4673
1333,0.5684
1334,1.8547
1335,2.2172
1336,0.3998
1337,0.3136
1338,0.7563
1339,0.4001
1340,0.9474
1341,2.6997
1342,0.7383
1343,0.2998
1344,0.7464
1345,0.5715
1346,0.2963
1347,0.2415
1348,1.4874
1349,3.6067
1350,0.2735
1351,0.5025
1352,0.2603
1353,0.3242
1354,0.9314
1355,0.5904
1356,1.567
1357,1.3857
1358,1.4232
1359,0.4458
1360,2.8877
1361,0.3749
1362,1.6186
1363,0.2309
1364,1.8642
1365,0.4143
1366,0.2132
1367,0.3146
1368,2.2953
1369,3.2908
1370,0.7437
1371,0.3862
1372,0.5311
1373,1.0685
1374,0.2686
1375,0.7816
1376,1.057
1377,0.2003
1378,3.5279
1379,0.7379
1380,0.252
1381,0.484
1382,0.7998
1383,2.2066
1384,0.543
1385,0.4658
1386,2.3592
1387,0.2217
1388,0.2162
1389,1.8075
1390,0.6704
1391,0.4671
1392,0.1604
1393,0.4678
1394,0.4453
1395,0.4672
1396,0.5002
1397,0.259
1398,0.4347
1399,0.3024
1400,0.2442
1401,0.4532
1402,0.28
1403,3.8494
1404,0.2813
1405,1.0357
1406,0.2982
1407,0.2619
1408,0.8583
1409,0.288
1410,0.4957
1411,3.1664
1412,2.6453
1413,2.4415
1414,1.1143
1415,0.3919
1416,1.3434
1417,0.7723
1418,1.2352
1419,0.7509
1420,0.6183
1421,0.2821
1422,0.4878
1423,0.8336
1424,0.6237
1425,0.348
1426,0.3064
1427,0.2442
1428,0.1905
1429,1.6578
1430,0.4144
1431,0.5824
1432,1.056
1433,2.1995
1434,0.4158
1435,0.5718
1436,0.224
1437,6.8414
1438,0.2934
1439,0.203
1440,0.6391
1441,0.1958
1442,7.5626
1443,8.4148
1444,0.142
1445,0.1604
1446,0.1179
1447,0.2658
1448,0.2045
1449,0.356
1450,0.1507
1451,0.2469
1452,0.2499
1453,0.2907
1454,0.2293
1455,0.7504
1456,0.2055
1457,0.2317
1458,0.2653
1459,4.4016
1460,0.1383
1461,0.3251
1462,0.6382
1463,0.3006
1464,0.3811
1465,0.2705
1466,0.2148
1467,0.1571
1468,1.7725
1469,0.1509
1470,0.2825
1471,0.2554
1472,0.2403
1473,0.5954
1474,0.215
1475,0.1654
1476,0.1635
1477,0.1525
1478,0.2027
1479,0.1831
1480,0.1935
1481,0.1811
1482,0.2734
1483,0.2027
1484,0.2907
1485,0.1568
1486,0.2683
1487,0.2034
1488,0.1789
1489,0.1462
1490,0.1982
1491,0.211
1492,0.2177
1493,0.1903
1494,0.1313
1495,0.2087
1496,0.1518
1497,0.203
1498,0.2011
1499,0.1704
1500,0.2162
1501,0.2179
1502,0.1438
1503,0.2486
1504,0.1102
1505,7.5926
1506,0.1961
1507,0.1755
1508,0.1169
1509,0.2128
1510,0.1848
1511,0.1605
1512,0.1552
1513,0.6829
1514,0.1784
1515,0.134
1516,0.3219
1517,0.2658
1518,0.1919
1519,0.2622
1520,0.1479
1521,0.473
1522,0.1805
1523,0.3087
1524,0.2275
1525,0.2136
1526,60.5764
1527,60.0972
1528,10.3732
1529,0.1431
1530,0.2062
1531,0.1603
1532,0.1081
1533,0.1936
1534,0.1469
1535,10.4285
1536,0.1567
1537,0.2006
1538,0.196
1539,0.1594
1540,0.1291
1541,0.2106
1542,2.3682
1543,10.6307
1544,0.1333
1545,0.3261
1546,10.3205
1547,0.1354
1548,10.4442
1549,0.1505
1550,0.1947
1551,0.1632
1552,0.116
1553,0.1265
1554,0.124
1555,0.1182
1556,0.1231
1557,0.2254
1558,0.2596
1559,0.13
1560,0.1248
1561,0.3007
1562,0.1593
1563,0.2375
1564,0.1233
1565,0.2555
1566,0.1205
1567,0.1185
1568,0.1414
1569,10.2502
1570,0.1829
1571,10.4836
1572,0.1391
1573,0.1401
1574,0.1571
1575,5.1741
1576,0.1649
1577,10.2292
1578,0.2098
1579,2.2758
1580,0.1815
1581,0.1555
1582,11.496
1583,0.1481
1584,0.1341
1585,0.137
1586,10.4473
1587,3.6739
1588,0.2381
1589,10.5804
1590,10.2343
1591,6.8098
1592,9.6947
1593,0.146
1594,2.6634
1595,0.2042
1596,1.3666
1597,0.1311
1598,0.1853
1599,10.2542
1600,0.1428
1601,0.1895
1602,9.809
1603,0.1502
1604,1.0292
1605,0.128
1606,0.181
1607,0.1376
1608,10.068
1609,0.1152
1610,10.2758
1611,10.5249
1612,0.1479
1613,0.2225
1614,0.1291
1615,0.1204
1616,10.1895
1617,0.1577
1618,0.321
1619,10.2112
1620,0.1357
1621,0.1565
1622,10.5429
1623,0.2253
1624,0.1221
1625,0.1372
1626,0.1209
1627,0.1447
1628,0.4506
1629,0.1612
1630,0.2243
1631,0.1879
1632,0.1584
1633,0.1407
1634,0.1194
1635,0.1432
1636,0.125
1637,0.1293
1638,0.1399
1639,0.1312
1640,0.1913
1641,0.1612
1642,0.1434
1643,0.1267
1644,0.197
1645,0.2179
1646,10.3807
1647,3.9755
1648,10.2606
1649,0.1288
1650,0.1241
1651,0.1353
1652,0.1408
1653,0.1975
1654,0.1323
1655,0.2021
1656,10.2563
1657,0.2347
1658,0.2287
1659,0.1504
1660,10.1865
1661,0.1594
1662,0.1503
1663,0.1529
1664,0.1494
1665,0.1209
1666,0.1692
1667,0.2022
1668,0.1252
1669,0.139
1670,0.2291
1671,0.3444
1672,0.1618
1673,0.4042
1674,0.1516
1675,0.1644
1676,0.1712
1677,0.3008
1678,0.124
1679,3.891
1680,0.3961
1681,0.1184
1682,0.1725
1683,0.1338
1684,10.6604
1685,0.2081
1686,10.2488
1687,0.148
1688,0.6228
1689,0.3997
1690,0.568
1691,0.2332
1692,7.9936
1693,0.2016
1694,0.4255
1695,0.1794
1696,0.1988
1697,4.9828
1698,0.2296
1699,0.2817
1700,0.2163
1701,0.1123
1702,0.1259
1703,0.1385
1704,0.3882
1705,0.3275
1706,4.0654
1707,0.2307
1708,0.1141
1709,0.2704
1710,0.478
1711,0.133
1712,0.1723
1713,0.1941
1714,0.2203
1715,0.2114
1716,0.3487
1717,9.2597
1718,0.1754
1719,0.153
1720,0.3055
1721,0.1534
1722,0.2099
1723,0.1737
1724,0.1909
1725,0.1254
1726,0.1927
1727,0.2026
1728,0.1678
1729,0.1361
1730,0.205
1731,0.1276
1732,0.3456
1733,0.1552
1734,0.1934
1735,0.3668
1736,0.5058
1737,6.5973
1738,0.2189
1739,0.1496
1740,0.1389
1741,10.0059
1742,3.2816
1743,0.13
1744,0.1699
1745,0.3046
1746,1.4993
1747,0.2535
1748,0.1387
1749,0.2173
1750,1.0778
1751,0.3078
1752,1.1503
1753,0.1424
1754,0.2214
1755,10.553
1756,0.2042
1757,0.1941
1758,0.3637
1759,0.2718
1760,0.2489
1761,0.158
1762,0.1661
1763,0.316
1764,8.408
1765,0.1581
1766,0.1536
1767,0.2174
1768,0.87
1769,0.192
1770,0.2139
1771,0.2529
1772,0.1936
1773,0.158
1774,10.4655
1775,0.2369
1776,0.1945
1777,0.2953
1778,0.3189
1779,0.1765
1780,0.1633
1781,0.2245
1782,0.1273
1783,0.3844
1784,0.192
1785,0.191
1786,0.1122
1787,0.6322
1788,0.1916
1789,0.1718
1790,0.1256
1791,0.2816
1792,0.163
1793,0.2131
1794,0.5532
1795,0.2038
1796,0.1846
1797,0.1838
1798,0.2905
1799,0.1802
1800,0.3154
1801,0.4966
1802,0.1344
1803,0.9216
1804,0.188
1805,0.3554
1806,0.3123
1807,0.2948
1808,0.1185
1809,0.1831
1810,0.2047
1811,0.1937
1812,0.158
1813,0.3324
1814,0.1998
1815,0.1349
1816,0.2299
1817,0.1212
1818,0.1282
1819,0.2105
1820,10.2632
1821,0.1715
1822,0.1656
1823,0.1999
1824,0.1934
1825,0.2101
1826,0.1962
1827,0.2129
1828,10.0757
1829,0.2104
1830,0.3497
1831,0.2505
1832,0.2721
1833,0.1323
1834,0.147
1835,0.1654
1836,0.187
1837,0.2064
1838,0.3263
1839,0.2331
1840,0.2182
1841,9.6272
1842,0.2013
1843,0.772
1844,0.28
1845,0.2016
1846,0.1334
1847,0.2182
1848,0.1838
1849,0.2007
1850,0.1829
1851,0.1364
1852,0.1699
1853,0.3738
1854,0.1989
1855,0.269
1856,0.1198
1857,0.1221
1858,0.1071
1859,0.493
1860,0.7165
1861,0.2988
1862,0.3188
1863,0.3213
1864,0.1459
1865,0.1774
1866,0.1859
1867,0.2063
1868,0.1807
1869,4.726
1870,0.2253
1871,0.1541
1872,0.2553
1873,0.9393
1874,0.2295
1875,0.1834
1876,0.1937
1877,0.2366
1878,3.8766
1879,0.1818
1880,0.184
1881,0.1686
1882,8.3877
1883,0.1955
1884,4.8063
1885,0.1718
1886,0.4054
1887,0.1633
1888,0.2417
1889,0.1992
1890,0.1305
1891,0.1606
1892,0.2383
1893,0.2021
1894,0.1856
1895,0.317
1896,0.2835
1897,0.169
