,0
0,0.1575
1,0.8194
2,0.7685
3,0.5244
4,0.3472
5,0.5048
6,0.2217
7,0.35
8,0.4858
9,0.6404
10,0.244
11,0.1052
12,0.5208
13,0.7169
14,0.7693
15,0.2876
16,0.2979
17,0.6475
18,0.218
19,0.9002
20,0.3364
21,0.2065
22,0.2949
23,0.8257
24,0.7471
25,0.4287
26,0.4803
27,0.5963
28,0.6206
29,0.2316
30,1.2258
31,1.0113
32,1.0605
33,2.5455
34,0.3873
35,0.2668
36,0.6271
37,0.3732
38,0.8703
39,0.6098
40,0.4828
41,0.5447
42,0.6491
43,0.7781
44,0.5948
45,0.699
46,0.9441
47,0.3408
48,0.2602
49,0.7755
50,0.6416
51,0.3937
52,0.4752
53,0.3695
54,0.8705
55,0.6566
56,0.2675
57,0.3625
58,0.4105
59,0.2234
60,0.4071
61,0.4676
62,0.1165
63,0.1617
64,0.5164
65,0.2789
66,0.6763
67,0.4449
68,0.6582
69,0.2495
70,0.4966
71,0.2611
72,0.3196
73,0.304
74,0.2882
75,0.2932
76,0.2638
77,0.2739
78,0.6082
79,0.8033
80,0.2417
81,0.3766
82,0.6283
83,0.2691
84,0.3335
85,0.3758
86,0.466
87,0.19
88,0.4193
89,0.1972
90,0.3865
91,0.563
92,0.5684
93,0.4255
94,0.4156
95,0.1905
96,0.8458
97,0.1138
98,0.278
99,1.1862
100,0.6446
101,0.5391
102,0.5873
103,0.321
104,0.3797
105,0.5228
106,0.3096
107,0.6379
108,0.3683
109,0.3782
110,0.866
111,0.4081
112,0.511
113,0.5285
114,1.5118
115,0.8637
116,0.3633
117,0.2535
118,0.4734
119,0.2493
120,0.5979
121,0.5945
122,0.3703
123,0.5906
124,0.4399
125,0.5924
126,0.6662
127,0.6622
128,0.1118
129,0.4027
130,0.162
131,0.174
132,0.18
133,0.601
134,0.7568
135,0.3835
136,0.1541
137,0.1533
138,0.1372
139,0.8633
140,0.3222
141,0.5712
142,0.4195
143,0.6408
144,0.3904
145,0.5592
146,0.294
147,0.2017
148,0.2288
149,0.474
150,0.445
151,0.4292
152,0.4777
153,1.4679
154,0.2843
155,0.3581
156,0.1519
157,0.8326
158,0.5021
159,0.6139
160,0.8166
161,0.2729
162,0.735
163,0.1441
164,1.1092
165,0.2078
166,0.3006
167,0.8428
168,0.491
169,0.34
170,0.1396
171,0.1789
172,0.1667
173,0.2608
174,0.4984
175,0.225
176,0.2061
177,0.1645
178,0.6604
179,0.1457
180,0.3778
181,0.3268
182,0.6669
183,0.2224
184,0.1654
185,0.8281
186,0.4607
187,0.2399
188,0.2211
189,0.265
190,0.9719
191,0.4706
192,0.2276
193,0.1609
194,0.5793
195,0.4255
196,0.3085
197,0.8357
198,0.6041
199,0.5576
200,0.2604
201,0.1872
202,0.253
203,0.8895
204,0.8539
205,0.7088
206,0.6653
207,0.2986
208,0.4701
209,0.3979
210,0.2228
211,0.5992
212,0.6058
213,0.3651
214,1.1346
215,0.6209
216,0.1615
217,0.5124
218,0.2326
219,0.1699
220,0.2598
221,0.8107
222,0.3383
223,0.3885
224,0.4385
225,0.3866
226,0.6097
227,0.4495
228,0.3714
229,0.4295
230,0.61
231,0.2633
232,0.1856
233,0.2212
234,0.3875
235,0.2481
236,0.3192
237,0.5103
238,0.4694
239,0.5528
240,0.4537
241,0.697
242,0.3154
243,0.1411
244,0.2521
245,0.3782
246,0.4645
247,0.5151
248,0.9427
249,0.478
250,0.9498
251,0.2302
252,0.4993
253,0.3202
254,0.5304
255,0.6798
256,0.1957
257,0.1943
258,0.7428
259,0.3281
260,0.3439
261,0.3051
262,0.1659
263,0.9053
264,0.2774
265,0.2034
266,0.1888
267,0.8874
268,0.3007
269,0.1206
270,1.0465
271,0.3562
272,0.1437
273,0.1688
274,0.2325
275,0.1508
276,0.3608
277,0.1535
278,0.6651
279,0.5586
280,0.3242
281,0.4869
282,0.2038
283,0.4723
284,0.4869
285,0.3315
286,0.4438
287,0.6117
288,0.4768
289,0.386
290,0.9781
291,0.223
292,0.2071
293,1.0579
294,0.2264
295,0.1698
296,0.3231
297,0.2583
298,0.6489
299,0.1639
300,0.3787
301,0.4887
302,0.4022
303,0.6157
304,0.5043
305,0.42
306,0.3027
307,0.846
308,0.8075
309,0.5681
310,0.6169
311,0.2489
312,0.5789
313,0.9625
314,0.2297
315,0.1948
316,1.027
317,0.7578
318,0.2728
319,0.5019
320,0.4386
321,0.3815
322,0.303
323,0.5552
324,0.1816
325,0.2251
326,0.2654
327,0.8196
328,0.6757
329,0.6741
330,0.3808
331,0.3451
332,0.488
333,0.4598
334,0.3329
335,0.4748
336,0.6173
337,0.452
338,0.3272
339,0.4831
340,0.6035
341,0.3695
342,0.3201
343,0.2283
344,0.5008
345,0.4917
346,0.3964
347,0.2748
348,0.2498
349,0.5096
350,0.2785
351,0.352
352,0.4337
353,0.2771
354,0.4294
355,0.2362
356,0.7769
357,0.8299
358,1.0974
359,0.476
360,0.2854
361,0.401
362,0.5091
363,0.1488
364,0.2183
365,0.7252
366,0.165
367,0.3414
368,0.5442
369,0.437
370,0.3324
371,0.646
372,0.4889
373,0.1185
374,0.3062
375,0.3658
376,0.3144
377,0.5306
378,0.2078
379,1.2208
380,0.1744
381,0.1558
382,0.1513
383,0.2024
384,0.27
385,0.2191
386,0.7224
387,0.2977
388,0.1051
389,0.5076
390,0.1307
391,0.3655
392,0.5016
393,0.3426
394,0.3503
395,0.3939
396,0.4202
397,0.197
398,0.4596
399,0.2249
400,0.3231
401,0.77
402,0.1622
403,0.1597
404,0.2271
405,0.1302
406,0.2394
407,0.2249
408,0.5834
409,0.3068
410,0.8466
411,0.4601
412,0.3475
413,0.2696
414,0.146
415,0.3183
416,0.2502
417,0.1172
418,0.1676
419,0.6906
420,0.2154
421,0.2537
422,0.1816
423,0.1643
424,0.1341
425,0.9899
426,0.4852
427,0.2187
428,0.3527
429,0.4019
430,0.6169
431,0.1413
432,0.9651
433,0.178
434,0.6026
435,0.9596
436,0.2006
437,0.2828
438,0.269
439,0.2187
440,0.1872
441,0.123
442,0.1278
443,0.1901
444,0.1813
445,0.6646
446,0.1807
447,0.1661
448,0.2283
449,0.144
450,0.3916
451,0.434
452,0.2895
453,0.3207
454,0.2406
455,0.3185
456,0.4641
457,0.4196
458,0.4585
459,0.1821
460,0.1962
461,0.4585
462,0.562
463,0.2993
464,0.3565
465,0.2266
466,0.5674
467,0.4896
468,0.5121
469,0.8602
470,0.2702
471,0.2324
472,0.7018
473,0.202
474,0.317
475,0.6584
476,0.3286
477,0.2743
478,0.8834
479,0.4416
480,0.7657
481,0.2118
482,0.2304
483,0.9528
484,0.3388
485,0.1795
486,0.6213
487,0.3062
488,0.5512
489,0.6888
490,0.7572
491,0.2813
492,0.6875
493,0.4507
494,0.1839
495,0.4247
496,0.4087
497,0.4492
498,0.413
499,0.6194
500,0.3351
501,0.196
502,1.0912
503,0.3137
504,0.7456
505,0.2973
506,0.2575
507,0.7481
508,0.2832
509,0.389
510,0.1631
511,0.3049
512,0.3109
513,0.7014
514,2.278
515,0.1962
516,0.4985
